[2015-02-22 05:43:16] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-02-22 05:44:07] smccarthy, joining. (#selendroid)
[2015-02-22 05:44:28] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-02-22 05:46:17] smccarthy, joining. (#selendroid)
[2015-02-22 05:46:32] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-02-22 05:48:30] smccarthy, joining. (#selendroid)
[2015-02-22 05:48:53] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-02-22 05:51:07] smccarthy, joining. (#selendroid)
[2015-02-22 05:51:19] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-02-22 05:52:42] smccarthy, joining. (#selendroid)
[2015-02-22 05:53:02] smccarthy, quitting. (Read error: Connection reset by peer)
[2015-02-22 05:55:14] smccarthy, joining. (#selendroid)
[2015-02-22 05:55:22] smccarthy, quitting. (Remote host closed the connection)
[2015-02-22 06:37:55] maan, joining. (#selendroid)
[2015-02-22 06:56:05] maan, quitting. (Remote host closed the connection)
[2015-02-22 06:56:22] maan, joining. (#selendroid)
[2015-02-22 06:57:38] maan, quitting. (Remote host closed the connection)
[2015-02-22 06:58:07] maan, joining. (#selendroid)
[2015-02-22 08:03:40] maan, quitting. (Remote host closed the connection)
[2015-02-22 14:28:51] aluedeke, joining. (#selendroid)
[2015-02-22 14:59:36] aluedeke, quitting. (Quit: Leaving.)
[2015-02-22 19:14:49] aluedeke, joining. (#selendroid)
[2015-02-22 19:34:00] smccarthy, joining. (#selendroid)
[2015-02-22 19:59:44] operatiay, joining. (#selendroid)
