[2015-11-11 00:45:13] lukeis, quitting. (Quit: Leaving.)
[2015-11-11 05:29:12] jlipps, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-11-11 06:36:43] smccarthy, quitting. (Remote host closed the connection)
[2015-11-11 08:18:54] orangesunshine, joining. (#selendroid)
[2015-11-11 08:18:57] orangesunshine, changing nick to madbytes.
[2015-11-11 08:51:20] madbytes, quitting. (Read error: Connection reset by peer)
[2015-11-11 13:15:51] simonstewart, joining. (#selendroid)
[2015-11-11 13:20:59] simonstewart, quitting. (Ping timeout: 276 seconds)
[2015-11-11 13:36:24] simonstewart, joining. (#selendroid)
