[2014-06-19 00:01:32] lukeis, joining. (#selendroid)
[2014-06-19 01:01:25] lukeis, quitting. (Quit: Leaving.)
[2014-06-19 01:14:24] smccarthy, quitting. (Quit: Leaving...)
[2014-06-19 02:13:53] jlipps, quitting. (Quit: Leaving.)
[2014-06-19 03:16:32] smccarthy, joining. (#selendroid)
[2014-06-19 04:14:11] detronizator, quitting. (Ping timeout: 252 seconds)
[2014-06-19 04:21:33] detronizator, joining. (#selendroid)
[2014-06-19 05:06:01] smccarthy, quitting. (Quit: Leaving...)
[2014-06-19 06:16:31] Guest31717, joining. (#selendroid)
