[2013-09-27 00:22:51] jusfreeman, quitting. (Quit: jusfreeman)
[2013-09-27 00:28:45] jusfreeman, joining. (#selendroid)
[2013-09-27 00:38:23] jusfreeman, quitting. (Quit: jusfreeman)
[2013-09-27 00:48:42] lukeis, quitting. (Quit: Leaving.)
[2013-09-27 05:51:57] jusfreeman, joining. (#selendroid)
[2013-09-27 06:10:43] jusfreeman, quitting. (Quit: jusfreeman)
[2013-09-27 06:12:09] jusfreeman, joining. (#selendroid)
[2013-09-27 06:24:08] jusfreeman, quitting. (Ping timeout: 240 seconds)
[2013-09-27 06:55:32] ddary, joining. (#selendroid)
