[2015-05-01 00:06:09] mach6, joining. (#selendroid)
[2015-05-01 01:04:01] lukeis, quitting. (Quit: Leaving.)
[2015-05-01 01:05:48] mach6, quitting. (Remote host closed the connection)
[2015-05-01 05:22:29] smccarthy, quitting. (Quit: Leaving...)
[2015-05-01 09:30:50] aluedeke, joining. (#selendroid)
[2015-05-01 09:35:50] aluedeke, quitting. (Quit: Leaving.)
[2015-05-01 16:28:54] smccarthy, joining. (#selendroid)
[2015-05-01 17:30:13] lukeis, joining. (#selendroid)
[2015-05-01 22:43:31] lukeis, quitting. (Quit: Leaving.)
