[2015-05-26 09:37:40] aluedeke, joining. (#selendroid)
[2015-05-26 11:03:27] smikloso, joining. (#selendroid)
[2015-05-26 14:45:26] aluedeke1, joining. (#selendroid)
[2015-05-26 14:47:24] aluedeke, quitting. (Ping timeout: 252 seconds)
[2015-05-26 15:19:12] aluedeke1, quitting. (Ping timeout: 264 seconds)
[2015-05-26 15:45:12] lukeis, joining. (#selendroid)
[2015-05-26 16:19:31] smccarthy, joining. (#selendroid)
[2015-05-26 17:03:21] smikloso, quitting. (Quit: Leaving.)
[2015-05-26 19:35:00] lukeis, quitting. (Read error: Connection reset by peer)
