[2014-08-19 00:02:08] smccarthy2, joining. (#selendroid)
[2014-08-19 00:11:01] smccarthy, quitting. (Ping timeout: 246 seconds)
[2014-08-19 01:02:19] lukeis, quitting. (Quit: Leaving.)
[2014-08-19 02:02:15] smccarthy2, quitting. (Quit: Leaving...)
[2014-08-19 02:23:17] jlipps, quitting. (Quit: Leaving.)
[2014-08-19 05:59:58] maan, joining. (#selendroid)
[2014-08-19 07:11:47] maan, quitting. (Remote host closed the connection)
[2014-08-19 09:26:53] smikloso, joining. (#selendroid)
[2014-08-19 09:49:51] jo_, joining. (#selendroid)
